,phases,bus1,kv,irradiance,Pmpp,%Pmpp,Temperature,pf,conn,kvar,kVA,%Cutin,%Cutout,EffCurve,P-TCurve,%R,%X,model,Vminpu,Vmaxpu,Balanced,LimitCurrent,yearly,daily,duty,Tyearly,Tdaily,Tduty,class,UserModel,UserData,debugtrace,VarFollowInverter,DutyStart,WattPriority,PFPriority,%PminNoVars,%PminkvarMax,kvarMax,kvarMaxAbs,kVDC,Kp,PITol,SafeVoltage,SafeMode,DynamicEq,DynOut,ControlMode,AmpLimit,AmpLimitGain,spectrum,basefreq,enabled,like
PVSystem.pvgnem_mpx000635970,1,110-pv.1,0.24,1,20,100,25,0.960452195661115,wye,0,10.0519943104125,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000635970,,,,,,1,,,No,No,0,No,No,-1,-1,10.0519943104125,10.0519943104125,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
PVSystem.pvgnem_mpx000460267,1,111-pv.1,0.24,1,8.5,100,25,0.96945605453663,wye,0,10.0654605603108,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000460267,,,,,,1,,,No,No,0,No,No,-1,-1,10.0654605603108,10.0654605603108,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
PVSystem.pvgnem_mpx000594341,1,113-pv.1,0.24,1,4.6,100,25,0.969288095956865,wye,0,10.0972006842615,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000594341,,,,,,1,,,No,No,0,No,No,-1,-1,10.0972006842615,10.0972006842615,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
PVSystem.pvgui_mpx000637601,1,112-pv.1,0.24,1.01069592198581,5.5,100,25,0.962204878458697,wye,0,9.9048975498169,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000637601,,,,,,1,,,No,No,0,No,No,-1,-1,9.9048975498169,9.9048975498169,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
PVSystem.pvgui_mpx000460267,1,111-pv.1,0.24,0.925303188892118,3.9,100,25,0.953448241994961,wye,0,10.1026554492628,20,20,,,50,0,1,0.9,1.1,No,No,pv_mpx000460267,,,,,,1,,,No,No,0,No,No,-1,-1,10.1026554492628,10.1026554492628,8,0.01,0,80,No,,[],GFL,-1,0.8,,60,Yes,
