,bus1,bus2,phases,kvar,kv,conn,cmatrix,cuf,R,XL,Harm,Numsteps,states,normamps,emergamps,faultrate,pctperm,repair,basefreq,enabled,like
Capacitor.c1,b1,b1.0.0.0,3,['600'],12.47,wye,"('0 |4.74303020007597E-316 0 |0 0 0',)",['10.235'],['0'],['0'],['0'],1,['1'],37.5023029706172,50.0030706274896,0.0005,100,3,60,Yes,
Capacitor.c2,b3,b3.0.0.0,3,['600'],12.47,wye,"('0 |3.16202013338398E-316 4.94065645841247E-318 |1.27319747462857E-307 3.16289184304687E-308 3.16289186676203E-308',)",['10.235'],['0'],['0'],['0'],1,['1'],37.5023029706172,50.0030706274896,0.0005,100,3,60,Yes,
Capacitor.cg,bg,bg.0.0.0,3,['600'],0.48,wye,"('0 |1.82804288961261E-316 6.44938472111788E-313 |9.88131291682493E-318 1.30764354484803E-313 0',)",['6907.77'],['0'],['0'],['0'],1,['1'],974.278579257494,1299.03810567666,0.0005,100,3,60,Yes,
